English,Khmer
Hello,សួស្តី
How are you?,អ្នកស្រឡាញ់ប៉ុណ្ណោះឬ
I am fine,ខ្ញុំសុខសប្បាយណាស់
She always arrives late,នាងតែងតែមកយឺត។
He never forgets to call,គាត់មិនដែលភ្លេចហៅទូរស័ព្ទទេ។
We usually go to the movies on Fridays,ជាធម្មតាយើងទៅមើលកុននៅថ្ងៃសុក្រ។
They often eat out on the weekends,ពួកគេតែងតែញ៉ាំអាហារក្រៅថ្ងៃចុងសប្តាហ៍។
I usually wake up at 6 am,ជាធម្មតាខ្ញុំភ្ញាក់ពីគេងនៅម៉ោង 6 ព្រឹក។
He always takes the bus to work,គាត់តែងតែជិះឡានក្រុងទៅធ្វើការ។
She never forgets her keys,នាងមិនដែលភ្លេចកូនសោរបស់នាងទេ។
We usually have dinner at 8 pm,ជាធម្មតាយើងមានអាហារពេលល្ងាចនៅម៉ោង 8 យប់។
He always reads the newspaper in the morning,គាត់តែងតែអានកាសែតនៅពេលព្រឹក។
She usually goes to the gym after work,ជាធម្មតានាងទៅកន្លែងហាត់ប្រាណបន្ទាប់ពីធ្វើការ។
I never forget to take my vitamins,ញុំមិនភ្លេចលេបវីតាមីនរបស់ខ្ញុំទេ។
They often go to the beach on the weekends,ពួកគេតែងតែទៅលេងឆ្នេរនៅចុងសប្តាហ៍។
She always takes the same route to work,នាងតែងតែដើរតាមផ្លូវដូចគ្នាដើម្បីធ្វើការ។
He never misses his favorite TV show,គាត់មិនដែលខកខានកម្មវិធីទូរទស្សន៍ដែលគាត់ចូលចិត្តនោះទេ។
We usually go to bed at 10 pm,ជាធម្មតាយើងចូលគេងនៅម៉ោង 10 យប់។
She always remembers to buy milk,នាងតែងតែចាំថាទិញទឹកដោះគោ។
I never forget to take out the trash,ញុំមិនភ្លេចយកសំរាមចេញទេ។
They usually have breakfast together,ជាធម្មតាពួកគេញ៉ាំអាហារពេលព្រឹកជាមួយគ្នា។
He always takes the dog for a walk,គាត់តែងតែនាំឆ្កែដើរលេង។
She never forgets to call her mom,នាងមិនដែលភ្លេចហៅម្តាយរបស់នាងទេ។
He works in a bank every day,គាត់ធ្វើការនៅក្នុងធនាគារជារៀងរាល់ថ្ងៃ។
She goes to the library twice a week,នាងទៅបណ្ណាល័យពីរដងក្នុងមួយសប្តាហ៍។
They always have lunch at noon,ពួកគេតែងតែទទួលទានអាហារថ្ងៃត្រង់។
I never miss my morning coffee,ញុំមិនដែលនឹកកាហ្វេពេលព្រឹករបស់ខ្ញុំទេ។
He always takes the same route to work,គាត់តែងតែដើរតាមផ្លូវដូចគ្នាដើម្បីធ្វើការ។
She always remembers to buy groceries,នាងតែងតែចងចាំការទិញគ្រឿងទេស។
We usually go out for dinner on Saturdays,ជាធម្មតាយើងចេញទៅទទួលទានអាហារពេលល្ងាចនៅថ្ងៃសៅរ៍។
They often go to the park on Sundays,ពួកគេតែងតែទៅលេងសួននៅថ្ងៃអាទិត្យ។
I never forget to take my medication,ខ្ញុំមិនភ្លេចលេបថ្នាំរបស់ខ្ញុំទេ។
He always arrives early for meetings,គាត់តែងតែមកមុនសម្រាប់ការប្រជុំ។
She usually takes the train to work,ជាធម្មតានាងជិះរថភ្លើងទៅធ្វើការ។
We always have dinner at 6 pm,យើងតែងតែមានអាហារពេលល្ងាចនៅម៉ោង 6 ល្ងាច។
They never forget to call their grandparents,ពួកគេមិនភ្លេចហៅជីដូនជីតារបស់ពួកគេ។
I usually go to bed at 11 pm,ជាធម្មតាខ្ញុំចូលគេងនៅម៉ោង 11 យប់។
He always remembers to pay the bills,គាត់ចាំថាត្រូវបង់វិក្កយបត្រ។
She never forgets to take her umbrella,នាងមិនដែលភ្លេចយកឆ័ត្ររបស់នាងទេ។
We usually have breakfast together,ជាធម្មតាយើងញ៉ាំអាហារពេលព្រឹកជាមួយគ្នា។
They often go to the movies on Fridays,ពួកគេតែងតែទៅមើលកុននៅថ្ងៃសុក្រ។
I never miss my morning jog.,ខ្ញុំមិនដែលនឹកការរត់ពេលព្រឹករបស់ខ្ញុំទេ។
He always takes the dog for a walk.,គាត់តែងតែនាំឆ្កែដើរលេង។
She never forgets to call her mom.,នាងមិនដែលភ្លេចហៅម្តាយរបស់នាងទេ។
We usually go to bed at 10 pm.,ជាធម្មតាយើងចូលគេងនៅម៉ោង 10 យប់។
They always have lunch at noon.,ពួកគេតែងតែទទួលទានអាហារថ្ងៃត្រង់នៅពេលថ្ងៃត្រង់។
I never forget to take my vitamins.,ខ្ញុំមិនភ្លេចលេបវីតាមីនរបស់ខ្ញុំទេ។
He always reads the newspaper in the morning.,គាត់តែងតែអានកាសែតនៅពេលព្រឹក។
